"Plot Title: 21744379"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21744379, SEN S/N: 21744379, LBL: D)","Coupler Attached (LGR S/N: 21744379)","Host Connected (LGR S/N: 21744379)","Stopped (LGR S/N: 21744379)","End Of File (LGR S/N: 21744379)"
1,05/16/23 12:40:00 PM,25.902,,,,
2,05/16/23 12:55:00 PM,26.977,,,,
3,05/16/23 01:10:00 PM,26.390,,,,
4,05/16/23 01:25:00 PM,25.610,,,,
5,05/16/23 01:40:00 PM,24.545,,,,
6,05/16/23 01:55:00 PM,23.869,,,,
7,05/16/23 02:10:00 PM,23.388,,,,
8,05/16/23 02:25:00 PM,23.004,,,,
9,05/16/23 02:40:00 PM,22.621,,,,
10,05/16/23 02:55:00 PM,23.388,,,,
11,05/16/23 03:10:00 PM,23.677,,,,
12,05/16/23 03:25:00 PM,24.351,,,,
13,05/16/23 03:40:00 PM,24.641,,,,
14,05/16/23 03:55:00 PM,24.545,,,,
15,05/16/23 04:10:00 PM,24.931,,,,
16,05/16/23 04:25:00 PM,26.097,,,,
17,05/16/23 04:40:00 PM,26.683,,,,
18,05/16/23 04:55:00 PM,26.390,,,,
19,05/16/23 05:10:00 PM,26.781,,,,
20,05/16/23 05:25:00 PM,26.683,,,,
21,05/16/23 05:40:00 PM,26.097,,,,
22,05/16/23 05:55:00 PM,26.488,,,,
23,05/16/23 06:10:00 PM,26.781,,,,
24,05/16/23 06:25:00 PM,26.683,,,,
25,05/16/23 06:40:00 PM,26.781,,,,
26,05/16/23 06:55:00 PM,26.879,,,,
27,05/16/23 07:10:00 PM,26.683,,,,
28,05/16/23 07:25:00 PM,26.781,,,,
29,05/16/23 07:40:00 PM,26.977,,,,
30,05/16/23 07:55:00 PM,26.879,,,,
31,05/16/23 08:10:00 PM,26.879,,,,
32,05/16/23 08:25:00 PM,27.075,,,,
33,05/16/23 08:40:00 PM,26.977,,,,
34,05/16/23 08:55:00 PM,27.272,,,,
35,05/16/23 09:10:00 PM,27.173,,,,
36,05/16/23 09:25:00 PM,26.977,,,,
37,05/16/23 09:40:00 PM,27.075,,,,
