"Plot Title: 21744382"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21744382, SEN S/N: 21744382, LBL: E>)","End Of File (LGR S/N: 21744382)"
1,05/16/23 12:39:59 PM,27.961,
2,05/16/23 12:54:59 PM,27.961,
3,05/16/23 01:09:59 PM,28.060,
4,05/16/23 01:24:59 PM,27.173,
5,05/16/23 01:39:59 PM,26.195,
6,05/16/23 01:54:59 PM,25.125,
7,05/16/23 02:09:59 PM,24.448,
8,05/16/23 02:24:59 PM,23.773,
9,05/16/23 02:39:59 PM,23.677,
10,05/16/23 02:54:59 PM,25.125,
11,05/16/23 03:09:59 PM,25.222,
12,05/16/23 03:24:59 PM,25.708,
13,05/16/23 03:39:59 PM,25.805,
14,05/16/23 03:54:59 PM,26.292,
15,05/16/23 04:09:59 PM,27.567,
16,05/16/23 04:24:59 PM,27.862,
17,05/16/23 04:39:59 PM,28.456,
18,05/16/23 04:54:59 PM,28.456,
19,05/16/23 05:09:59 PM,28.754,
20,05/16/23 05:24:59 PM,28.555,
21,05/16/23 05:39:59 PM,28.555,
22,05/16/23 05:54:59 PM,29.053,
23,05/16/23 06:09:59 PM,29.352,
24,05/16/23 06:24:59 PM,29.552,
25,05/16/23 06:39:59 PM,29.252,
26,05/16/23 06:54:59 PM,29.452,
27,05/16/23 07:09:59 PM,29.953,
28,05/16/23 07:24:59 PM,29.853,
29,05/16/23 07:39:59 PM,29.652,
30,05/16/23 07:54:59 PM,30.154,
31,05/16/23 08:09:59 PM,29.853,
32,05/16/23 08:24:59 PM,29.953,
33,05/16/23 08:39:59 PM,30.154,
34,05/16/23 08:54:59 PM,29.752,
35,05/16/23 09:09:59 PM,30.154,
36,05/16/23 09:24:59 PM,30.154,
37,05/16/23 09:39:59 PM,29.953,
38,05/16/23 09:54:59 PM,30.154,
39,05/16/23 10:09:59 PM,29.853,
40,05/16/23 10:24:59 PM,30.255,
41,05/16/23 10:39:59 PM,30.054,
42,05/16/23 10:54:59 PM,30.154,
43,05/16/23 11:09:59 PM,30.356,
44,05/16/23 11:24:59 PM,29.853,
45,05/16/23 11:39:59 PM,30.255,
46,05/16/23 11:54:59 PM,30.054,
47,05/17/23 12:09:59 AM,30.154,
48,05/17/23 12:24:59 AM,29.953,
49,05/17/23 12:39:59 AM,29.552,
50,05/17/23 12:54:59 AM,30.054,
51,05/17/23 01:09:59 AM,29.652,
52,05/17/23 01:24:59 AM,29.853,
53,05/17/23 01:39:59 AM,29.853,
54,05/17/23 01:54:59 AM,29.652,
55,05/17/23 02:09:59 AM,30.054,
56,05/17/23 02:24:59 AM,29.552,
57,05/17/23 02:39:59 AM,29.953,
58,05/17/23 02:54:59 AM,29.752,
59,05/17/23 03:09:59 AM,29.752,
60,05/17/23 03:24:59 AM,29.853,
61,05/17/23 03:39:59 AM,29.552,
62,05/17/23 03:54:59 AM,29.953,
63,05/17/23 04:09:59 AM,29.452,
64,05/17/23 04:24:59 AM,29.953,
