"Plot Title: 21744381"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21744381, SEN S/N: 21744381, LBL: F)","Coupler Attached (LGR S/N: 21744381)","Host Connected (LGR S/N: 21744381)","Stopped (LGR S/N: 21744381)","End Of File (LGR S/N: 21744381)"
1,06/09/23 03:00:00 PM,30.054,,,,
2,06/09/23 03:15:00 PM,30.963,,,,
3,06/09/23 03:30:00 PM,31.676,,,,
4,06/09/23 03:45:00 PM,31.166,,,,
5,06/09/23 04:00:00 PM,30.760,,,,
6,06/09/23 04:15:00 PM,30.356,,,,
7,06/09/23 04:30:00 PM,31.472,,,,
8,06/09/23 04:45:00 PM,32.086,,,,
9,06/09/23 05:00:00 PM,31.983,,,,
10,06/09/23 05:15:00 PM,31.778,,,,
11,06/09/23 05:30:00 PM,30.760,,,,
12,06/09/23 05:45:00 PM,30.457,,,,
13,06/09/23 06:00:00 PM,31.778,,,,
14,06/09/23 06:15:00 PM,32.188,,,,
15,06/09/23 06:30:00 PM,32.086,,,,
16,06/09/23 06:45:00 PM,31.983,,,,
17,06/09/23 07:00:00 PM,31.983,,,,
18,06/09/23 07:15:00 PM,31.983,,,,
19,06/09/23 07:30:00 PM,31.983,,,,
20,06/09/23 07:45:00 PM,31.983,,,,
21,06/09/23 08:00:00 PM,31.778,,,,
22,06/09/23 08:15:00 PM,31.778,,,,
23,06/09/23 08:30:00 PM,31.676,,,,
24,06/09/23 08:45:00 PM,31.574,,,,
25,06/09/23 09:00:00 PM,31.268,,,,
26,06/09/23 09:15:00 PM,30.760,,,,
27,06/09/23 09:30:00 PM,30.659,,,,
28,06/09/23 09:45:00 PM,30.963,,,,
29,06/09/23 10:00:00 PM,31.983,,,,
30,06/09/23 10:15:00 PM,32.291,,,,
31,06/09/23 10:30:00 PM,32.086,,,,
32,06/09/23 10:45:00 PM,31.983,,,,
33,06/09/23 11:00:00 PM,31.880,,,,
34,06/09/23 11:15:00 PM,31.880,,,,
35,06/09/23 11:30:00 PM,31.778,,,,
36,06/09/23 11:45:00 PM,31.676,,,,
37,06/10/23 12:00:00 AM,31.472,,,,
38,06/10/23 12:15:00 AM,31.370,,,,
39,06/10/23 12:30:00 AM,30.862,,,,
40,06/10/23 12:45:00 AM,30.963,,,,
41,06/10/23 01:00:00 AM,30.862,,,,
42,06/10/23 01:15:00 AM,30.862,,,,
43,06/10/23 01:30:00 AM,30.862,,,,
44,06/10/23 01:45:00 AM,30.760,,,,
45,06/10/23 02:00:00 AM,30.659,,,,
46,06/10/23 02:15:00 AM,30.963,,,,
47,06/10/23 02:30:00 AM,31.166,,,,
48,06/10/23 02:45:00 AM,31.472,,,,
49,06/10/23 03:00:00 AM,31.370,,,,
50,06/10/23 03:15:00 AM,31.166,,,,
51,06/10/23 03:30:00 AM,31.370,,,,
52,06/10/23 03:45:00 AM,31.574,,,,
53,06/10/23 04:00:00 AM,31.676,,,,
54,06/10/23 04:15:00 AM,31.983,,,,
55,06/10/23 04:30:00 AM,31.983,,,,
56,06/10/23 04:45:00 AM,32.086,,,,
57,06/10/23 05:00:00 AM,31.983,,,,
58,06/10/23 05:15:00 AM,31.983,,,,
59,06/10/23 05:30:00 AM,31.983,,,,
60,06/10/23 05:45:00 AM,32.086,,,,
61,06/10/23 06:00:00 AM,32.086,,,,
62,06/10/23 06:15:00 AM,32.188,,,,
63,06/10/23 06:30:00 AM,32.394,,,,
64,06/10/23 06:45:00 AM,32.394,,,,
65,06/10/23 07:00:00 AM,32.394,,,,
66,06/10/23 07:15:00 AM,32.497,,,,
67,06/10/23 07:30:00 AM,32.497,,,,
68,06/10/23 07:45:00 AM,32.497,,,,
69,06/10/23 08:00:00 AM,32.497,,,,
70,06/10/23 08:15:00 AM,32.394,,,,
71,06/10/23 08:30:00 AM,32.188,,,,
72,06/10/23 08:45:00 AM,32.086,,,,
73,06/10/23 09:00:00 AM,32.086,,,,
74,06/10/23 09:15:00 AM,31.983,,,,
75,06/10/23 09:30:00 AM,31.778,,,,
76,06/10/23 09:45:00 AM,31.880,,,,
77,06/10/23 10:00:00 AM,31.676,,,,
78,06/10/23 10:15:00 AM,31.472,,,,
79,06/10/23 10:30:00 AM,31.472,,,,
80,06/10/23 10:45:00 AM,31.574,,,,
81,06/10/23 11:00:00 AM,31.472,,,,
82,06/10/23 11:15:00 AM,31.268,,,,
83,06/10/23 11:30:00 AM,31.064,,,,
84,06/10/23 11:45:00 AM,30.862,,,,
85,06/10/23 12:00:00 PM,30.760,,,,
86,06/10/23 12:15:00 PM,30.963,,,,
87,06/10/23 12:30:00 PM,31.268,,,,
88,06/10/23 12:45:00 PM,31.676,,,,
89,06/10/23 01:00:00 PM,31.778,,,,
90,06/10/23 01:15:00 PM,32.394,,,,
91,06/10/23 01:30:00 PM,32.497,,,,
92,06/10/23 01:45:00 PM,32.394,,,,
93,06/10/23 02:00:00 PM,31.983,,,,
94,06/10/23 02:15:00 PM,31.676,,,,
95,06/10/23 02:30:00 PM,31.166,,,,
96,06/10/23 02:45:00 PM,30.963,,,,
97,06/10/23 03:00:00 PM,30.862,,,,
98,06/10/23 03:15:00 PM,30.862,,,,
99,06/10/23 03:30:00 PM,31.064,,,,
100,06/10/23 03:45:00 PM,31.268,,,,
101,06/10/23 04:00:00 PM,31.574,,,,
102,06/10/23 04:15:00 PM,31.880,,,,
103,06/10/23 04:30:00 PM,32.086,,,,
104,06/10/23 04:45:00 PM,31.983,,,,
105,06/10/23 05:00:00 PM,32.188,,,,
106,06/10/23 05:15:00 PM,32.497,,,,
107,06/10/23 05:30:00 PM,32.497,,,,
108,06/10/23 05:45:00 PM,32.497,,,,
109,06/10/23 06:00:00 PM,32.497,,,,
110,06/10/23 06:15:00 PM,32.497,,,,
111,06/10/23 06:30:00 PM,32.497,,,,
112,06/10/23 06:45:00 PM,32.497,,,,
113,06/10/23 07:00:00 PM,32.497,,,,
114,06/10/23 07:15:00 PM,32.600,,,,
115,06/10/23 07:30:00 PM,32.497,,,,
116,06/10/23 07:45:00 PM,32.497,,,,
117,06/10/23 08:00:00 PM,32.394,,,,
118,06/10/23 08:15:00 PM,32.188,,,,
119,06/10/23 08:30:00 PM,32.086,,,,
120,06/10/23 08:45:00 PM,31.880,,,,
121,06/10/23 09:00:00 PM,31.880,,,,
122,06/10/23 09:15:00 PM,31.880,,,,
123,06/10/23 09:30:00 PM,31.983,,,,
124,06/10/23 09:45:00 PM,31.983,,,,
125,06/10/23 10:00:00 PM,31.983,,,,
126,06/10/23 10:15:00 PM,31.983,,,,
127,06/10/23 10:30:00 PM,31.880,,,,
128,06/10/23 10:45:00 PM,31.574,,,,
129,06/10/23 11:00:00 PM,31.574,,,,
130,06/10/23 11:15:00 PM,31.574,,,,
131,06/10/23 11:30:00 PM,31.268,,,,
132,06/10/23 11:45:00 PM,30.963,,,,
133,06/11/23 12:00:00 AM,30.760,,,,
134,06/11/23 12:15:00 AM,30.760,,,,
135,06/11/23 12:30:00 AM,30.862,,,,
136,06/11/23 12:45:00 AM,31.064,,,,
137,06/11/23 01:00:00 AM,30.963,,,,
138,06/11/23 01:15:00 AM,30.963,,,,
139,06/11/23 01:30:00 AM,31.166,,,,
140,06/11/23 01:45:00 AM,31.268,,,,
141,06/11/23 02:00:00 AM,31.268,,,,
142,06/11/23 02:15:00 AM,31.370,,,,
143,06/11/23 02:30:00 AM,31.574,,,,
144,06/11/23 02:45:00 AM,31.676,,,,
145,06/11/23 03:00:00 AM,31.676,,,,
146,06/11/23 03:15:00 AM,31.880,,,,
147,06/11/23 03:30:00 AM,31.983,,,,
148,06/11/23 03:45:00 AM,32.188,,,,
149,06/11/23 04:00:00 AM,32.086,,,,
150,06/11/23 04:15:00 AM,32.188,,,,
151,06/11/23 04:30:00 AM,32.291,,,,
152,06/11/23 04:45:00 AM,32.291,,,,
153,06/11/23 05:00:00 AM,32.394,,,,
154,06/11/23 05:15:00 AM,32.497,,,,
155,06/11/23 05:30:00 AM,32.497,,,,
156,06/11/23 05:45:00 AM,32.600,,,,
157,06/11/23 06:00:00 AM,32.600,,,,
158,06/11/23 06:15:00 AM,32.497,,,,
159,06/11/23 06:30:00 AM,32.188,,,,
160,06/11/23 06:45:00 AM,31.983,,,,
161,06/11/23 07:00:00 AM,31.676,,,,
162,06/11/23 07:15:00 AM,31.370,,,,
163,06/11/23 07:30:00 AM,31.064,,,,
164,06/11/23 07:45:00 AM,30.862,,,,
165,06/11/23 08:00:00 AM,30.760,,,,
166,06/11/23 08:15:00 AM,30.760,,,,
167,06/11/23 08:30:00 AM,31.064,,,,
168,06/11/23 08:45:00 AM,31.268,,,,
169,06/11/23 09:00:00 AM,31.268,,,,
170,06/11/23 09:15:00 AM,31.472,,,,
171,06/11/23 09:30:00 AM,31.574,,,,
172,06/11/23 09:45:00 AM,31.778,,,,
173,06/11/23 10:00:00 AM,31.880,,,,
174,06/11/23 10:15:00 AM,31.983,,,,
175,06/11/23 10:30:00 AM,32.188,,,,
176,06/11/23 10:45:00 AM,32.291,,,,
177,06/11/23 11:00:00 AM,32.497,,,,
178,06/11/23 11:15:00 AM,32.497,,,,
179,06/11/23 11:30:00 AM,32.600,,,,
180,06/11/23 11:45:00 AM,32.600,,,,
181,06/11/23 12:00:00 PM,32.600,,,,
182,06/11/23 12:15:00 PM,32.497,,,,
183,06/11/23 12:30:00 PM,32.497,,,,
184,06/11/23 12:45:00 PM,32.600,,,,
185,06/11/23 01:00:00 PM,32.497,,,,
186,06/11/23 01:15:00 PM,32.497,,,,
187,06/11/23 01:30:00 PM,32.497,,,,
188,06/11/23 01:45:00 PM,32.497,,,,
189,06/11/23 02:00:00 PM,32.497,,,,
190,06/11/23 02:15:00 PM,32.497,,,,
191,06/11/23 02:30:00 PM,32.394,,,,
192,06/11/23 02:45:00 PM,32.291,,,,
193,06/11/23 03:00:00 PM,32.188,,,,
194,06/11/23 03:15:00 PM,31.983,,,,
195,06/11/23 03:30:00 PM,31.880,,,,
196,06/11/23 03:45:00 PM,31.676,,,,
197,06/11/23 04:00:00 PM,31.574,,,,
198,06/11/23 04:15:00 PM,31.370,,,,
199,06/11/23 04:30:00 PM,31.370,,,,
200,06/11/23 04:45:00 PM,31.064,,,,
201,06/11/23 05:00:00 PM,30.659,,,,
202,06/11/23 05:15:00 PM,30.760,,,,
203,06/11/23 05:30:00 PM,30.760,,,,
204,06/11/23 05:45:00 PM,30.862,,,,
205,06/11/23 06:00:00 PM,31.064,,,,
206,06/11/23 06:15:00 PM,31.268,,,,
207,06/11/23 06:30:00 PM,31.574,,,,
208,06/11/23 06:45:00 PM,31.676,,,,
209,06/11/23 07:00:00 PM,31.880,,,,
210,06/11/23 07:15:00 PM,32.086,,,,
211,06/11/23 07:30:00 PM,32.394,,,,
212,06/11/23 07:45:00 PM,32.600,,,,
213,06/11/23 08:00:00 PM,32.497,,,,
214,06/11/23 08:15:00 PM,32.188,,,,
215,06/11/23 08:30:00 PM,31.778,,,,
216,06/11/23 08:45:00 PM,31.472,,,,
217,06/11/23 09:00:00 PM,31.064,,,,
218,06/11/23 09:15:00 PM,30.760,,,,
219,06/11/23 09:30:00 PM,30.760,,,,
220,06/11/23 09:45:00 PM,30.963,,,,
221,06/11/23 10:00:00 PM,31.064,,,,
222,06/11/23 10:15:00 PM,31.268,,,,
223,06/11/23 10:30:00 PM,31.370,,,,
224,06/11/23 10:45:00 PM,31.676,,,,
225,06/11/23 11:00:00 PM,31.983,,,,
226,06/11/23 11:15:00 PM,32.188,,,,
227,06/11/23 11:30:00 PM,32.394,,,,
228,06/11/23 11:45:00 PM,32.497,,,,
229,06/12/23 12:00:00 AM,32.291,,,,
230,06/12/23 12:15:00 AM,31.880,,,,
231,06/12/23 12:30:00 AM,31.676,,,,
232,06/12/23 12:45:00 AM,31.064,,,,
233,06/12/23 01:00:00 AM,30.760,,,,
234,06/12/23 01:15:00 AM,30.963,,,,
235,06/12/23 01:30:00 AM,31.268,,,,
236,06/12/23 01:45:00 AM,31.574,,,,
237,06/12/23 02:00:00 AM,31.983,,,,
238,06/12/23 02:15:00 AM,32.394,,,,
239,06/12/23 02:30:00 AM,32.600,,,,
240,06/12/23 02:45:00 AM,32.291,,,,
241,06/12/23 03:00:00 AM,31.778,,,,
242,06/12/23 03:15:00 AM,31.166,,,,
243,06/12/23 03:30:00 AM,30.760,,,,
244,06/12/23 03:45:00 AM,31.166,,,,
245,06/12/23 04:00:00 AM,31.472,,,,
246,06/12/23 04:15:00 AM,31.983,,,,
247,06/12/23 04:30:00 AM,32.394,,,,
248,06/12/23 04:45:00 AM,32.600,,,,
249,06/12/23 05:00:00 AM,32.291,,,,
250,06/12/23 05:15:00 AM,31.880,,,,
251,06/12/23 05:30:00 AM,31.370,,,,
252,06/12/23 05:45:00 AM,30.862,,,,
253,06/12/23 06:00:00 AM,30.862,,,,
254,06/12/23 06:15:00 AM,31.064,,,,
255,06/12/23 06:30:00 AM,31.472,,,,
256,06/12/23 06:45:00 AM,31.880,,,,
257,06/12/23 07:00:00 AM,32.086,,,,
258,06/12/23 07:15:00 AM,32.394,,,,
259,06/12/23 07:30:00 AM,32.497,,,,
260,06/12/23 07:45:00 AM,32.497,,,,
261,06/12/23 08:00:00 AM,32.497,,,,
262,06/12/23 08:15:00 AM,31.983,,,,
