Folder,Photo names,,Area,Mean,Min,Max,Angle,Lenght
A1_23_03_24,A1_23_03_24_1x5.JPG,1,6.43E-02,"100,385","56,333","122,918","-7,572",0.146
A1_23_03_24,A1_23_03_24_2x5.JPG,2,9.12E-02,"89,016","22,875","125,791","161,680",0.208
A1_23_03_24,A1_23_03_24_3x5.JPG,3,2.96E-02,"111,665","92,500","121,345","59,744",0.067
A1_23_03_24,A1_23_03_24_4x5,4,4.01E-02,"132,373","112,000","151,853","-160,346",0.091
A1_23_03_24,A1_23_03_24_5x5,5,6.55E-02,"99,181","63,875","113,919","95,576",0.149
A1_23_03_24,A1_23_03_24_7x5,6,8.07E-02,"57,989","20,433","99,475","-18,954",0.183
A1_23_03_24,A1_23_03_24_8x5,7,5.19E-02,"102,180","74,087","124,674","119,613",0.118
A1_23_03_24,A1_23_03_24_9x5.JPG,8,5.76E-02,"115,286","83,478","137,387","-62,322",0.131
A1_23_03_24,A1_23_03_24_11x5,9,8.95E-02,"72,496","25,513","122,523","-122,802",0.204
A1_23_03_24,A1_23_03_24_12x5,10,5.26E-02,"94,553","59,667","114,999","14,850",0.120
A1_23_03_24,A1_23_03_24_13x5.JPG,11,9.99E-02,"84,993","45,786","124,867","115,924",0.228
A1_23_03_24,A1_23_03_24_14x5,12,4.99E-02,"85,298","38,911","112,837","-149,378",0.114
A1_23_03_24,A1_23_03_24_15x5.JPG,13,8.20E-02,"70,219","26,629","116,019",-0.672,0.187
A1_23_03_24,A1_23_03_24_17x5,14,7.45E-02,"86,394","36,000","118,775",-0.888,0.170
A1_23_03_24,A1_23_03_24_18x5,15,5.22E-02,"83,330","53,484","103,952","66,510",0.119
A1_23_03_24,A1_23_03_24_19x5,16,5.49E-02,"97,600","60,504","124,013","-60,380",0.125
A1_23_03_24,A1_23_03_24_20x5,17,4.15E-02,"103,511","56,027","128,130","-81,719",0.094
A1_23_03_24,A1_23_03_24_21x5,18,1.09E-01,"50,923","22,501","83,238","-100,396",0.248
A1_23_03_24,A1_23_03_24_22x5,19,5.74E-02,"54,958","30,340","93,667","142,361",0.131
A1_23_03_24,A1_23_03_24_24x5.JPG,20,6.61E-02,"102,458","62,614","120,248","-75,478",0.150
A1_23_03_24,A1_23_03_24_25x5.JPG,21,7.11E-02,"97,906","68,000","121,925","-31,017",0.162
A1_23_03_24,A1_23_03_24_26x5.JPG,22,1.02E-01,"62,427","25,744","100,796","-157,596",0.232
A1_23_03_24,A1_23_03_24_27x5.JPG,23,5.28E-02,"133,507","82,667","155,591","41,009",0.120
A1_23_03_24,A1_23_03_24_28x5.JPG,24,1.13E-01,"77,242","30,404","111,891","147,124",0.257
A1_23_03_24,A1_23_03_24_29x5.JPG,25,7.39E-02,"100,229","54,690","126,000","-143,578",0.168
A1_23_03_24,A1_23_03_24_30x5.JPG,26,6.80E-02,"96,354","73,056","126,333","85,452",0.155
A1_23_03_24,A1_23_03_24_31x5.JPG,27,7.51E-02,"112,961","69,330","139,373","-94,995",0.171
A1_23_03_24,A1_23_03_24_33x5.JPG,28,6.63E-02,"116,591","58,512","151,609","7,187",0.151
A1_23_03_24,A1_23_03_24_34x5.JPG,29,7.09E-02,"97,585","60,000","123,093","-145,059",0.161
A1_23_03_24,A1_23_03_24_35x5.JPG,30,8.16E-02,"103,019","76,334","120,498","-44,522",0.186
A1_23_03_24,A1_23_03_24_36x5.JPG,31,6.93E-02,"111,929","67,773","135,483","-118,560",0.158
A1_23_03_24,A1_23_03_24_37x5.JPG,32,6.32E-02,"86,999","47,986","118,699","-178,952",0.144
A1_23_03_24,A1_23_03_24_38x5.JPG,33,1.17E-01,"74,644","29,264","111,864","-119,768",0.267
A1_23_03_24,A1_23_03_24_39x5.JPG,34,1.03E-01,"85,337","58,486","106,689","34,283",0.235
A1_23_03_24,A1_23_03_24_40x5.JPG,35,6.88E-02,"105,250","53,375","128,554","62,069",0.156
A1_23_03_24,A1_23_03_24_42x5.JPG,36,7.14E-02,"120,689","77,287","145,716","-35,232",0.163
A1_23_03_24,A1_23_03_24_43x5.JPG,37,6.22E-02,"110,894","70,666","132,719","17,090",0.142
