treatment,specimen,uM,Temperature,Na2S03
A,A_3,6258.28,20,0
F,F_1,6355.049,28,56
E,E_1,6451.075,28,32
Culture,Ecotox,6749.457,23,0
F,F_3,6785.141,28,56
F,F_2,6867.288,28,56
E,E_1,6904.324,28,32
A,A_2,6913.887,20,0
F,F_1,6945.938,28,56
F,F_3,6967.468,28,56
A,A_1,7048.17,20,0
Culture,Ecotox,7054.067,23,0
F,F_3,7067.626,28,56
E,E_1,7069.123,28,32
E,E_1,7091.571,28,32
B,B_4,7107.322,20,32
D,D_2,7139.463,28,0
D,d2_30_31_5_1.czi,7170.932,28,0
A,A_2,7216.619,20,0
A,A_2,7218.246,20,0
A,A_2,7247.414,20,0
F,F_3,7274.135,28,56
D,D_2,7280.277,28,0
D,d2_2_6.czi,7336.765,28,0
Culture,Ecotox,7357.464,23,0
F,F_2,7364.432,28,56
A,A_3,7397.286,20,0
A,A_4,7399.64,20,0
Culture,Ecotox,7408.149,23,0
D,D_2,7410.85,28,0
D,D_2,7440.523,28,0
Culture,Ecotox,7460.468,23,0
F,F_2,7491.218,28,56
A,A_1,7502.16,20,0
B,B_4,7525.136,20,32
C,C_1,7556.483,20,56
D,D_2,7582.844,28,0
C,C_4,7590.147,20,56
F,F_3,7671.168,28,56
F,F_2,7718.819,28,56
A,A_2,7736.711,20,0
F,F_3,7771.863,28,56
A,A_2,7773.282,20,0
C,C_1,7793.012,20,56
A,A_2,7797.858,20,0
A,A_2,7806.182,20,0
A,A_3,7843.087,20,0
F,f2_29_5_2.czi,7860.133,28,56
B,B_3,7878.57,20,32
A,A_4,7882.067,20,0
A,A_2,7899.33,20,0
A,A_3,7899.373,20,0
F,f2_2_6.czi,7900.444,28,56
B,B_3,7903.574,20,32
A,A_4,7917.719,20,0
F,F_2,7919.753,28,56
C,C_1,7928.398,20,56
B,B_4,7937.977,20,32
A,A_2,7985.961,20,0
A,A_3,7990.753,20,0
E,E2_29_5_6.czi,7997.737,28,32
A,A_2,8008.121,20,0
E,E2_29_5_3.czi,8020.907,28,32
F,f2_29_5_1.czi,8034.822,28,56
F,f3_29_5.czi,8085.987,28,56
E,E2_29_5_2.czi,8106.933,28,32
F,f4_30_31_5_2.czi,8107.973,28,56
A,A_1,8121.59,20,0
D,d3_29_5_4.czi,8150.86,28,0
C,C_1,8169.845,20,56
C,C_3,8171.746,20,56
A,A_3,8179.197,20,0
D,d4_29_5_1.czi,8188.178,28,0
D,d4_29_5_4.czi,8201.365,28,0
E,e4_30_31_5_1.czi,8206.76,28,32
B,b1_2_6_3a.czi,8225.283,20,32
F,f4_29_5_4.czi,8236.539,28,56
A,A_1,8241.257,20,0
E,e2_30_31_5_2.czi,8248.236,28,32
D,d4 26_5_2.czi,8264.247,28,0
E,E2_29_5_4.czi,8265.888,28,32
D,d2_30_31_5_2.czi,8277.296,28,0
F,f1_26_5_4.czi,8281.112,28,56
A,A_4,8304.069,20,0
A,A_3,8305.792,20,0
D,d3_29_5_3.czi,8324.727,28,0
B,B_3,8347.141,20,32
F,f4_30_31_5_1.czi,8353.765,28,56
E,E2_29_5_1.czi,8370.481,28,32
E,E2_29_5_5.czi,8372.499,28,32
B,B_4,8393.517,20,32
B,B_4,8418.008,20,32
F,f2_29_5_5.czi,8418.251,28,56
F,f1_26_5_2.czi,8440.983,28,56
E,e4_26_5_3.czi,8441.927,28,32
A,A_3,8448.478,20,0
F,f4_29_5_3.czi,8451.078,28,56
B,B_4,8451.353,20,32
A,a2_30_31_5_1.czi,8456.552,20,0
D,d4_29_5_2.czi,8473.711,28,0
F,f2_29_5_6.czi,8475.794,28,56
D,d3_29_5_1.czi,8478.922,28,0
E,e4_29_5.czi,8487.969,28,32
Culture,ecotox 31_5_5.czi,8496.127,23,0
B,B_3,8520.432,20,32
A,A_3,8539.399,20,0
Culture,ecotox 31_5_1.czi,8552.372,23,0
A,A_4,8570.111,20,0
D,d3_29_5_2.czi,8572.214,28,0
A,a4_29_5_3.czi,8572.362,20,0
A,A_3,8584.22,20,0
E,e4_26_5_2.czi,8593.515,28,32
E,e4_29_5_2.czi,8593.68,28,32
A,a2_2_6_2.czi,8606.672,20,0
F,f2_29_5_3.czi,8625.396,28,56
F,f1_26_5_1.czi,8636.916,28,56
A,a4 29_5.czi,8646.716,20,0
A,A_3,8655.528,20,0
B,B_3,8655.607,20,32
D,d1_26_5_2.czi,8677.151,28,0
Culture,ecotox 31_5_3.czi,8683.925,23,0
E,e2_2_6_2.czi,8686.03,28,32
E,e2_30_31_5_1.czi,8691.802,28,32
E,e3_2_6.czi,8693.091,28,32
D,d3_30_31_5_4.czi,8700.046,28,0
D,d4_29_5_3.czi,8707.051,28,0
A,A_3,8713.497,20,0
F,f4_29_5_7.czi,8722.344,28,56
D,D1_2_6.czi,8765.298,28,0
F,f2_29_5_4.czi,8768.012,28,56
B,B_4,8784.983,20,32
B,b3_30_31_5_3.czi,8792.114,20,32
F,f3_23_5.czi,8792.373,28,56
F,f4_29_5_6.czi,8794.767,28,56
A,A_4,8811.225,20,0
D,d3 26_5.czi,8819.279,28,0
