Treatment,Folder,DATE,Photo names,,Area,Mean,Min,Max,Lenght
A,A1 01_02_24,01/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 01_02_24\Snap-285.czi,1,0.028,"163,325","83,155","223,426","7,768"
A,A1 01_02_24,01/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 01_02_24\Snap-283.czi,4,0.028,"167,177","66,074","222,668","7,775"
A,A1 01_02_24,01/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 01_02_24\Snap-282.czi,3,0.029,"160,134","75,616","217,803","7,856"
A,A1 01_02_24,01/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 01_02_24\Snap-286.czi,2,0.031,"161,032","90,542","216,916","8,432"
A,A1 12_02_24,12/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 12_02_24\Snap-42.czi,4,0.024,"178,627","96,481","221,622","6,626"
A,A1 12_02_24,12/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 12_02_24\Snap-40.czi,2,0.024,"185,510","115,327","221,915","6,655"
A,A1 12_02_24,12/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 12_02_24\Snap-43.czi,1,0.025,"159,249","82,963","224,826","6,760"
A,A1 12_02_24,12/02/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 12_02_24\Snap-41.czi,3,0.025,"189,875","120,774","222,939","6,964"
A,A1 13_03_24,13/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 13_03_24\Snap-249.czi,1,0.025,"171,243","95,701","218,526","6,983"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-132.czi,3,0.023,"168,032","93,499","214,818","6,378"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-130.czi,1,0.024,"181,811","93,638","228,387","6,449"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-127.czi,9,0.024,"179,238","110,965","216,404","6,579"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-129.czi,11,0.026,"173,351","82,991","227,492","7,183"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-131.czi,2,0.026,"167,809","67,782","225,176","7,200"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-123.czi,5,0.026,"177,507","98,935","228,228","7,231"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-128.czi,10,0.027,"173,214","101,315","223,871","7,494"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-122.czi,4,0.028,"170,663","109,835","214,948","7,633"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-125.czi,7,0.028,"159,624","100,015","217,596","7,755"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-124.czi,6,0.028,"163,130","84,187","224,712","7,762"
A,A1 adults 21_03_24 final,21/03/2024,C:\Users\Z0113068M\Desktop\Chironomus riparius\Chironomus riparius\EXUVIAE\A1 adults 21_03_24 final\Snap-126.czi,8,0.029,"179,684","100,001","224,605","7,980"
A,A1 exuviae 23_02_24,23/02/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A1 exuviae 23_02_24\Snap-212.czi,1,0.028,179.07,105.026,222.832,7.47
A,A1_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_01_01_24\A1_01_01_24",1,0.021,"118,643","64,158","160,994","6,414"
A,A1_02_06,02/06/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_02_06\A1_02_06_1",2,0.023,"117,000","70,076","167,908","6,797"
